intent,pergunta
Bateria,Oi a bateria dura bastante? Quero usar o dia todo 
Bateria,Oi a bateria aguenta quantas horas sem carregar?
Bateria,Essa bateria tem que carregar muitas vezes ao longo do dia?
Bateria,vc acha q a bateria dura ´pra  um dia inteiro
Capacidade,É quantos GB de armazenamento??
Capacidade,Quantos GB?
Capacidade,A memória RAM dele e de 3 gb né ?
Capacidade,Tem o de 64 gigas? Me manda o link
Capacidade,Quantas gigas?
Capacidade,OI BOA NOITE AMIGO ! EU GOSTARIA DE SABER QUANTOS GIGA É ?
Capacidade,Esse celular tem com 6G de memória RAM??
Capacidade,Qual a ram?
Capacidade,Vcs tem com 128gb
Capacidade,Poderia ter a memoria ram maior
Capacidade,"Boa tarde, ele é 4gb de memória RAM?"
Capacidade,Quanto de memóriae RAM
Capacidade,Tem quantos de memória
Capacidade,Quanto memória tem de RAM.
Capacidade,So tem 2 de ram?
Capacidade,Boa tarde esse celular é quantos giga?
Capacidade,E 4GB RAM MESMO?
Capacidade,quantos litros cabe?
Capacidade,Quantos gigas de RAM o celular tem ?
Capacidade,Memoria ram 1 ou 2 gb ?
Capacidade,Ele e 32 ou 16 GB ?
Capacidade,Tem de 32 GB de memória ?
Capacidade,A memória dele é 64 ou 32 gigas
Capacidade,Cabe bastante foto?
Capacidade,A memória da pra muito aplicativo?
Capacidade,quantos litros cabe  na geladeira
Capacidade,É de quantos litro a geladeira
Capacidade,a capacidade é grande ?
Capacidade,Qual temananho dessa bateria?
Capacidade,Quanto cabe de memória
Capacidade,Cabe quantos videos
Capacidade,A memória da pra baixar filme?
Capacidade,Essa memória é suficiente
Capacidade,"Boa tarde,a memória interna dele e 64 ou 32 gb?"
Capacidade,Ele é 64 ou 32GB???
Capacidade,"Boa tarde,a memória interna dele e 64 ou 32?"
Capacidade,OlA BOA TARDE ESSE CELULAR TEM QUANTO DE MEMORIA
Capacidade,"E,32 ou 64,g"
Capacidade,"No anúncio está marcado 64GB e na descrição 32GB, qual o correto?"
Capacidade,"Na tela de venda 64 gb na descrição 32;gb e aí meu amigo , como fica ? Qual a real realidade??"
Capacidade,No anúncio diz 64 gb e na descrição 32 gb . Quantos gigas de memória interna por favor ?
Capacidade,tem ele de 1 tb de HD?
Capacidade,Cabe quanto de memória externa
Capacidade,Ele tem mais de memória?
Capacidade,ele não possui 1 tb de hd?
Capacidade,32 ou 64 ???
Capacidade,Ele suporta até quanto de memória?
Capacidade,tem 64 ou 32 ? na descrição 32 no título 64
Capacidade,Ele é 64GB ou 32GB???
Capacidade,São quantos litros ?
Capacidade,Quantos litros ela é ?
Capacidade,Ela é 2000mil litros
Capacidade,pra quantos litros é essa piscona
Capacidade,Oi ela e 3 litros e
Capacidade,E um TERABYTE?
Capacidade,E 8 GB
Capacidade,O HD é de quanto?
Capacidade,"Por gentileza, quala memória do dispositivo."
Capacidade,quanto de mem´ria que vem?
Capacidade,Cabe quantos cm³
Capacidade,Quantos L que cabe nessa airfryer
Capacidade,Aguenta 50 kg?
Capacidade,Esse é de 20 L ?
Capacidade,Qual peso aguenta?
Capacidade,"Aguenta Quantos litros, Obrigada luís gustavo"
Capacidade,Quantos gb de ram??
Capacidade,Qual a memória RAM dele ?
Capacidade,esse hd é de 4 tb
Capacidade,é 256gb ou 500gb?
Capacidade,Vc tem de 128 gb?
Capacidade,Esse a HD de 2 tb
Capacidade,Quanto de memória RAM?
Capacidade,Quanto de HD?
Capacidade,Quantos giga de RAMesse notebook tem?
Capacidade,"Boa noite, tem HD de 0 TB? É isso mesmo?"
Capacidade,Só mais uma coisa quantos GB HD?
Capacidade,Bom dia! Estes PCs não têm HD?
Capacidade,"Meu amigo no anúncio fala 64 giga, mas na descrição fala 32 gigas... Qual a verdade ????"
Capacidade,o hd e de quanto
Capacidade,Qual a capacidade de memória do HD?
Capacidade,"Olá, quanto têm de memória RAM e memória ROM?"
Capacidade,Tem de 3000 lts ou 3700 
Capacidade,Vc tem desse.modelo de 5 litros?
Capacidade,Tem 7 L?
Capacidade,Tem dessa panela de 3 lts?
Capacidade,Tem dessa panela de 7 lts?
Capacidade,Quero uma de 7 litros vcs tem?
Capacidade,Boa tarde. Vc teria ela de 6 lts
Capacidade,Tem 7 litros amigo
Capacidade,Quantos litros cada?
Capacidade,é pra quantos cm3
Capacidade,quantos cm3 tem a geladeira
Capacidade,qual a capacidade amigo ?
Capacidade,Olá gostaria de saber quanto que cabe nesse pote 
Capacidade,Oi essa geladeira cabe bastante coisa?
Capacidade,Essa bolsa cabe quanto ?
Capacidade,Pode me informar a capacidade em quilogramas?
Capacidade,Quantos lts cabe
Capacidade,Mas cabe quanto nesse refrigerador
Capacidade,Cabe o notebook?
Cor,Você teria o aparelho na cor petra ?
Cor,"Amigo, quais cores vc tem desse aparelho ?"
Cor,quais as cores disponíveis ?
Cor,que cor vc tem dele ?
Cor,esse preto é aquele brilhoso ?
Cor,em quais cores vc tem ele
Cor,quais cores amigo ?
Cor,gostaria de saber em quais cores voce tem ?
Cor,o preto é fosco ou brilhoso
Cor,qual a tonalidade de preto vc tem ?
Cor,no caso a cromada q vi as fots
Cor,Tem todas as cores?
Cor,Tem branco?
Cor,Boa tarde .Quais cores vcs teriam
Cor,Tem cor caramelo
Cor,osso escolher as cores?
Cor,Preta Branca Vinho
Cor,Preta Branca Amarela
Cor,Boa noite! Teria o rosa?
Cor,Boa tarde vc tem ele todo preto ?
Cor,E prata e preto ?
Cor,No anuncio diz preto Na foto é prata Como faço para comprar todo preto ?
Cor,tem preta
Cor,"Bom dia, você teria em vermelho?"
Cor,tem vermelho?
Cor,Tem em quais cores?
Cor,Boa Noite! Qual a cor do cabo?
Cor,tem prata ou só grafiti?
Cor,Olá você ainda tem o modelo na cor preta ?
Cor,Tem outras cores??
Cor,OLÁ. TEM A COR BRANCA?
Cor,O preto é o cinza espacial correto? Ou é preto mesmo?
Cor,Quais cores est¿ dispon¿vel
Cor,Tem.cor dourado?
Cor,Quais as cores?
Cor,Boa tarde. É o azul ou preto?
Cor,Ele só vem na cor azul não tem ele dourado não???
Cor,As duas pulseiras são pretas?
Cor,Ainda tem na cor branca?
Cor,"Bom dia, você tem a cor preta em estoque?"
Cor,Tem outra cor?
Cor,Cores
Cor,"Ela é da cor vermelha mesmo, como na imagem?"
Cor,As cores que vem são iguais essa das imagens pq parece que as cores que estão na descrição na batem com as imagens
Cor,Tem na cor rosa?
Cor,tem outras cores?
Cor,Comprei 3 moletons. Quero escolher as cores.
Cor,Bom dia! Tem nesse modelo plus size nas cores rosa e preto?
Cor,Tem a cor marron?? Claro ou escuro?
Cor,"Bom dia tem na cor marrom,rosa claro e preta Tam m?"
Cor,Ou só verde e branco mesmo
Cor,Boa noite .. vcs teriam na cor rosa ou alguma cor para menina
Cor,Só tem essa cor?
Cor,Tem outras cores?
Cor,Tem rosa?
Cor,Tem na cor rosa
Cor,TEM A GANGORRA NA COR AMARELA?
Cor,Olá! Vc teria a disposição a cor azul escuro? Obrigado
Cor,MAIS TEM NA COR VERMELHA?
Cor,Tem na cor vermelha????
Cor,Na cor vermelha Vc tem
Cor,Vcs tem na azul celeste
Cor,Vc tem laranja
Cor,Quais cores vcs tem????
Cor,"boa noite, tem a cor rosa?"
Cor,Amarelo tem?
Cor,Tem como vim de outra cor?
Cor,Quais cores disponíveis?
Cor,Tem na cor branca?
Cor,Boa noite vcs teriam desse modelo na cor branca obg
Cor,Boa tarde! Tem branco deste guarda roupa?
Cor,"Boa noite, tem da cor branco?"
Cor,vc tem ele vermelho
Cor,a cor azuj ta disponivel
Cor,amigos quais cores vc tem
Cor,tem ele no azul
Cor,tem ele no cinza
Cor,o prata esta disponivel
Cor,vc ainda tem o preto dele
Cor,esse e aquele cinza espacial
Cor,ELE É TODO DE PRATA?
Cor,Tem outras cores ?
Cor,Quais cores você dispõe
Cor,Você tem um dourado 1 linha
Cor,Teria ele todo preto ?
Cor,Boa tsrde Tem na cor dourado
Cor,vocês teriam na cor vermelha?
Cor,"Eu comprei com vcs , mas a cor verde acabou, como posso ver outras cores, vcs tem um link disponível?"
Cor,"Boa-tarde, quais as cores disponíveis?"
Cor,Tem inteira branco?
Cor,É inteiro preto ou branco por fora e preto dentro ? Eu queria o inteiro preto. Obrigado
Cor,"Boa noite, você tem totalmente preto?"
Cor,Só tem nessa cor?
Cor,Boa noite Vermelho escuro como da foto?
Cor,Boa tarde! Tem na cor rosa e lilas?
Cor,Você possui nas cores azul bebê e azul escuro ?
Cor,Tem.cores branco vermelho e azul Bic?
Cor,Você tem as caixas no rosa e lilás?
Cor,Ola tem somente as caixas na cor vermelha e azul?
Cor,Tem as caixas na cor azul bebê??
Dimensão,Bom dia que largura tem esse pano e o comprimento também por fazor
Dimensão,Olá qual tamanho
Dimensão,Esse é 50.cm?
Dimensão,Esse modelo da foto e dentro 40 cm.
Dimensão,Ele é de 50 cm mas esse modelo da foto do anuncio e de 40 cm certo.
Dimensão,Boa tarde Qual a largura dessa piscina exata??
Dimensão,Qual e o comprimento e a aktura desa piscina?
Dimensão,Boa tarde ! Quais as medidas dessa caixa ?
Dimensão,Olá gostaria de saber qual a largura e altura do produto? Obrigada
Dimensão,Tamanho do pendrive?
Dimensão,A altura
Dimensão,Qual a altura da piçina
Dimensão,"Gente boa, pode informar as medidas, altura e diâmetro? Grato."
Dimensão,Qual tamanho
Dimensão,Quantos cm tem ela ?
Dimensão,Quantos metros tem o fio?
Dimensão,Qual é a medida da braçadeira
Dimensão,Dimensão
Dimensão,Medidas
Dimensão,"Qual a altura da, cafeteira ?"
Dimensão,Qual o tamanho desse cabo?
Dimensão,Vc tem ele com 3 metros?
Dimensão,Qual o tamanho?
Dimensão,Quanto de comprimento tem o cabo?
Dimensão,Quantos centímetros eli tem
Dimensão,Quais as dimensões do produto?
Dimensão,Bom dia... qual o tamanho e largura dele em cm por favor ?
Dimensão,qual comprimento?
Dimensão,Qual o tamanho do celular
Dimensão,Quantas polegadas
Dimensão,quantos metros ele tem?
Dimensão,Quantos cm ele tem ?
Dimensão,qual a medida
Dimensão,quanto tem de tamanho
Dimensão,qual a largura?
Dimensão,tem qnts cm??
Dimensão,é 3 cm de profundidade?
Dimensão,qual tamanho?
Dimensão,quanto tem de tamanho e largura?
Dimensão,quantos cms tem?
Dimensão,Tem quantos metros essa piscina
Dimensão,Mede Mede quanto de profundidade?
Dimensão,Quais as medidas?Comprimento .
Dimensão,Qual as dimensões dela com as escoras?
Dimensão,Qual é a altura da piscina?
Dimensão,Qual a autura
Dimensão,Qual a largura ????
Dimensão,A profundidade e 75?
Dimensão,poderia me informar a profundidade
Dimensão,Qual o tamanha de largura com os pés armados
Dimensão,Sim tem largura altura fundura quanto tem de comprimento?
Dimensão,Qual seria a metragem?
Dimensão,Qual o tamanho da Braçadeira ? Serve em Adultos ??
Dimensão,Qual o tamanho do fio
Dimensão,Qual é o tamanho?
Dimensão,Bom dia: quais são as medidas do aparelho ?
Dimensão,TEM TAMANHO MAIOR NESTA ESTAMPA
Dimensão,Boa tarde e para cochao de 30 centímetros de altura ?
Dimensão,"A hélice é 40 ou 50cm , tá muito confuso na descrição."
Dimensão,Quantos centímetros de diâmetro?
Dimensão,Diâmetro?
Dimensão,Ele é o de 40cm?
Dimensão,Esse produto é 40cm
Dimensão,Qual altura minima do trip¿?
Dimensão,Quantos metros ou cm?
Dimensão,Ele é do tamanho da foto do anúncio?
Dimensão,Quantos cm ele tem?
Dimensão,Qual o diametro?
Dimensão,Vocês têm a tabela de tamanhos ?
Dimensão,Quanto mede de fundura
Dimensão,Qual altura dela
Dimensão,Qual a profundidade?
Dimensão,Tem em outra medida ? Um pouco menor ?
Dimensão,Quanto tem de diâmetro?
Dimensão,Está ring light tem 45cm (diâmetro do aro)?
Dimensão,"Boa tarde, gostaria de saber qual é a medida do ring led. Obrigado"
Dimensão,Quantos centímetros de altura e largura da ring?
Dimensão,Qual o tamanho do diâmetro ?
Dimensão,Olá quais são as medidas do arco
Dimensão,O tamanho e da forma que fala
Dimensão,Qual a dimensão?
Dimensão,"Boa tarde, pode me passar as dimensões do produto?"
Dimensão,qual a fundura deste produto
Dimensão,quais as dimensoes do produto?
Dimensão,Qual o diametro da caixa
Dimensão,quantas polegadas ?
Dimensão,"Quais são as especificações físicas?  altura, largura, etc"
Dimensão,Tem quantas polegadas
Dimensão,Queria saber é de 50 polegada acho uma boa tela
Dimensão,Quantas polegadas de tela a imagem é igual ou melhor que a sanssung?
Dimensão,Quantas polegada essa tv fala 9
Dimensão,Quantas polegada essa tv tomate 9
Dimensão,Quais as metragens dela?
Dimensão,"Boa noite , uma dúvida a altura dela com base é 95???"
Dimensão,Boa tarde qual a medida da tv.
Dimensão,Qual o tamanho da tv L x A X P.
Dimensão,"Essas medidas dessa TV de 70 estão corretas? Porque vendo aqui ,ela é menor que uma TV de 50 polegadas."
Dimensão,"Qual o tamanho em centimetros da tela dessa TV Altura x Largura, pois em varios sites os tamanhos da mesma tv tem variaç"
Dimensão,Quais sao as medidas?
Dimensão,Tem outros tamanhos ?
Disponibilidade,vc teria dois para entrega ?
Disponibilidade,Esta disponivel? Cancelaram minha compra
Disponibilidade,Ainda tem a pronta entrega
Disponibilidade,Teria 50 dele?
Disponibilidade,Quantos há no estoque???
Disponibilidade,Tá vendo ainda
Disponibilidade,Boa noite ainda em estoque comprando hj?
Disponibilidade,Boa noite amigo .... Ainda tem disponível ?
Disponibilidade,Vcs tem?
Disponibilidade,Boa tarde. Vc tem vários em estoque?
Disponibilidade,Boa tarde! É pronta entrega?
Disponibilidade,Ainda está disponível esse produto?
Disponibilidade,"Quero comprar 3 unidades, vc tem ?"
Disponibilidade,"compra 10, tem para vender ?"
Disponibilidade,Pronta entrega?
Disponibilidade,Disponível a pronta entrega? CEP 04215-000
Disponibilidade,Tenhe esse produto???
Disponibilidade,Disponível pra 41770-235?
Disponibilidade,Está disponível? Estou tentando comprar e não consigo
Disponibilidade,tem peças para reposição ?
Disponibilidade,Tem pronta entrega? Pq a demora no frete se é no mesmo estado?
Disponibilidade,Ainda disponível ? 
Disponibilidade,Bom dia tem em estoque ainda
Disponibilidade,Boa tarde tens em estoque ?
Disponibilidade,tem ainda pra vender ?
Disponibilidade,Tem para entrega imediata
Disponibilidade,Tem 100 unidades
Disponibilidade,"Bom dia, preciso de 24 unidades. Ainda tem esta quantidade"
Disponibilidade,Tem estoque disponível? 
Disponibilidade,Boa tarde quantos vc tem em estoque?
Disponibilidade,Tem a pronta entrega??
Disponibilidade,já tem pra pronta entrega?
Disponibilidade,Bom dia quero fechar a compra porem gostaria de saber se o aparelho tem estoque no Brasil?
Disponibilidade,Bom dia ainda tem em estoque?
Disponibilidade,tem o aparellho a pronta entrega ?
Disponibilidade,você teria 10 unidades a pronta entrega ?
Disponibilidade,Ainde tem disponível ?
Disponibilidade,Tem 5?
Disponibilidade,Quantos tem pra vender ainda?
Disponibilidade,vende 10?
Disponibilidade,ta em estoque
Disponibilidade,produto em pronta entrega ?
Disponibilidade,Vc tem a pronta entrega
Disponibilidade,Tem disponível?
Disponibilidade,Boa tarde ainda está disponível ? Ele já vem com hd ?
Disponibilidade,Ainda tem
Disponibilidade,e tem ponta a entrega??
Disponibilidade,Teria pra entrega imediata?
Disponibilidade,"Boa tarde, tem em estoque?"
Disponibilidade,Tem disponível até 15 de maio?
Disponibilidade,Quero comprar! Tá disponível?
Disponibilidade,PODERIA me informar quantos produtos vc tem em estoque ?
Disponibilidade,"queria comprar em grande quantidade, quantos produtos vc tem disponivel"
Disponibilidade,Bom dia...o Hd externo ainda esta disponível?
Disponibilidade,Ainda tem o notebook ?
Disponibilidade,Não tem mais desse?
Disponibilidade,"Ola Boatard, gostaria de saber quantas unidades tem disponível, uero fazer um pedido grand e"
Disponibilidade,"ESSE PRODUTO ""MARMITEIRA ELETRICA 1L "" ainda está disponvel?"
Disponibilidade,tem quanto de estoque
Disponibilidade,tem estoque ainda 23 de maço
Disponibilidade,Boa tarde quero saber do estoque
Disponibilidade,"Nossa o preço ta bom, ainda tem?"
Disponibilidade,Tem desse produto ainda?
Disponibilidade,"O anpuncio é andigo, gostaria de saber se tem estoque ainda, obrigada"
Disponibilidade,OLA QUERO COMPRAR. Tem estoque ??
Disponibilidade,Mas quantas voc~e temm?? Quero comprar muitas
Disponibilidade,quanto voce tem pra mim poder comprar
Disponibilidade,"Olá boa noite, tem 56 disponpivel comorp hj"
Disponibilidade,"Gostaria de comprar 21, tem tudo isso disponível"
Disponibilidade,Tem esse produto ainda?
Disponibilidade,QUANTAS PEÇAS VOCE TEM EM ESTOQUE
Disponibilidade,Quantos tem pra eu comprar
Disponibilidade,Posso comprar 12 ou voce naum tem
Disponibilidade,"Olá, tem a pronta entrega?"
Disponibilidade,O produto acabou
Disponibilidade,Tema ainda esse?
Disponibilidade,"Olá Boa Noite, ainda tem estoque dess produto?"
Disponibilidade,tem para entregar w
Disponibilidade,Mas voce so tem essa ?
Disponibilidade,so teria essa mesmo
Disponibilidade,DISPONIVEL?
Disponibilidade,Boa tarde ainda tem esse monitor disponível?
Disponibilidade,ainda tem esse relogio disponivel 
Disponibilidade,Tá disponível ainda ? Pq n responde??
Disponibilidade,Disponível?
Disponibilidade,tem a pronta entrega?
Disponibilidade,Tem à pronta entrega?
Disponibilidade,Ola. Vc tem em estoque?
Disponibilidade,Boa tarde ainda tem do pruduto
Disponibilidade,estoque de quantos
Disponibilidade,Possui o produto a pronta entrega? Em envio imediato?
Disponibilidade,Ainda tem essa panela
Disponibilidade,Tem 11 unidades
Disponibilidade,Tem alguma dessa?
Disponibilidade,Tem 2 unidades?
Disponibilidade,"BOM DIA, TEM DISPONÍVEL"
Disponibilidade,Tem pronto entrega?
Disponibilidade,Pronto entrega
Disponibilidade,Olá tem pronta entrega ?
Disponibilidade,Boa noite a cama ainda está disponível?
Entrega,Vcs entrega peleso correios
Entrega,"Olá, quero saber se vai ser entregue na data prevista, por que os correios estão em paralisação*"
Entrega,Tem como entregar antes ...? Pq aparece só dia 30 de abril.
Entrega,Compro hoje envia quando?
Entrega,Oi bom dia você consegue enviar pra mim até que dia
Entrega,ja envia amanha?
Entrega,Chega quando
Entrega,Consegui posta amanhã pela e presente de Natal????
Entrega,Qual o prazo para enviar o produto ?
Entrega,Só chegará dia 20 de abril mesmo ?
Entrega,quanto tempo em media a entrega ?
Entrega,Entregam hoje ?
Entrega,"Entendi , comprando hoje você consegue postar quando ?"
Entrega,Quantos dias demora pra mandarem o código de rastreamento?
Entrega,Qual a transportadora que entrega o produto de vcs?
Entrega,Entregue pelos Correios?
Entrega,Quanto tempo demora a entrega do produto?
Entrega,Como pago o envio?*
Entrega,Qual é o custo do envio?
Entrega,Se comprar hoje que dia vão postar o produto
Entrega,Pagamento aprovado postaria pra mim HOJE?
Entrega,"ou realizar a compra, o envio é feito por correios ou transportadora °??"
Entrega,Onde eu recebo o produto?
Entrega,Quanto tempo para entrega no cep 50781-291?
Entrega,estimativa de chegada para o cep 52041065?
Entrega,Quanto tempo para o cep 13960-000
Entrega,quando deve chegar para o cep 45656-150?
Entrega,"Boa tarde, o produto pode ser retirado? Qual sua localização?"
Entrega,O produto só é enviado após a efetuação da primeira parcela?
Entrega,"Gostaria de saber se meu produto ja foi enviado ???,"
Entrega,"Sou de São Paulo, normalmente demora tudo isso pra entregar mesmo?"
Entrega,o envio e feito via correios? se for e pac ou sedex?
Entrega,Envia mato grosso do Norte?
